teamId,fullName,stadium,stadiumCapacity,founded,cityBasedIn,countryBasedIn,brandColor,defaultFormation,sport
CHI,Chicago Bulls,United Center,20917,1966,Chicago,USA,#ce1141,122,basketball
LAL,Los Angeles Lakers,Staples Center,18997,1947,Los Angeles,USA,#552583,5,basketball
MIA,Miami Heat,AmericanAirlines Arena,19600,1988,Miami,USA,#98002e,5,basketball
UTA,Utah Jazz,Vivint Arena,18303,1974,Salt Lake City,USA,#002b5c,5,basketball
DET,Detroit Pistons,Little Caesars Arena,20491,1941,Detroit,USA,#1d428a,5,basketball
CHA,Charlotte Hornets,Spectrum Center,19077,1988,Charlotte,United States,#00788C,5,basketball
